品类,年份,月份,出场价 USD/kg,同期终端零售价 USD/kg
生猪(活重出场),2021,1,2.2378,4.1958
肉鸡(活重出栏),2021,1,1.1888,2.2378
鸡蛋(出场),2021,1,1.5385,1.8182
生猪(活重出场),2021,2,2.2548,4.2234
肉鸡(活重出栏),2021,2,1.2007,2.2548
鸡蛋(出场),2021,2,1.5567,1.8290
生猪(活重出场),2021,3,2.2718,4.2509
肉鸡(活重出栏),2021,3,1.2125,2.2718
鸡蛋(出场),2021,3,1.5749,1.8397
生猪(活重出场),2021,4,2.2887,4.2783
肉鸡(活重出栏),2021,4,1.2243,2.2887
鸡蛋(出场),2021,4,1.5930,1.8504
生猪(活重出场),2021,5,2.3056,4.3056
肉鸡(活重出栏),2021,5,1.2361,2.3056
鸡蛋(出场),2021,5,1.6111,1.8611
生猪(活重出场),2021,6,2.3224,4.3328
肉鸡(活重出栏),2021,6,1.2478,2.3224
鸡蛋(出场),2021,6,1.6291,1.8718
生猪(活重出场),2021,7,2.3391,4.3599
肉鸡(活重出栏),2021,7,1.2595,2.3391
鸡蛋(出场),2021,7,1.6471,1.8824
生猪(活重出场),2021,8,2.3558,4.3869
肉鸡(活重出栏),2021,8,1.2712,2.3558
鸡蛋(出场),2021,8,1.6649,1.8929
生猪(活重出场),2021,9,2.3724,4.4138
肉鸡(活重出栏),2021,9,1.2828,2.3724
鸡蛋(出场),2021,9,1.6828,1.9034
生猪(活重出场),2021,10,2.3890,4.4406
肉鸡(活重出栏),2021,10,1.2943,2.3890
鸡蛋(出场),2021,10,1.7005,1.9139
生猪(活重出场),2021,11,2.4055,4.4674
肉鸡(活重出栏),2021,11,1.3058,2.4055
鸡蛋(出场),2021,11,1.7182,1.9244
生猪(活重出场),2021,12,2.4220,4.4940
肉鸡(活重出栏),2021,12,1.3173,2.4220
鸡蛋(出场),2021,12,1.7358,1.9348
生猪(活重出场),2022,1,2.4138,4.4828
肉鸡(活重出栏),2022,1,1.2759,2.3103
鸡蛋(出场),2022,1,1.6552,1.8621
生猪(活重出场),2022,2,2.4338,4.5033
肉鸡(活重出栏),2022,2,1.2788,2.3238
鸡蛋(出场),2022,2,1.6604,1.8701
生猪(活重出场),2022,3,2.4537,4.5236
肉鸡(活重出栏),2022,3,1.2817,2.3372
鸡蛋(出场),2022,3,1.6655,1.8780
生猪(活重出场),2022,4,2.4735,4.5439
肉鸡(活重出栏),2022,4,1.2846,2.3505
鸡蛋(出场),2022,4,1.6707,1.8859
生猪(活重出场),2022,5,2.4932,4.5640
肉鸡(活重出栏),2022,5,1.2875,2.3638
鸡蛋(出场),2022,5,1.6757,1.8937
生猪(活重出场),2022,6,2.5127,4.5840
肉鸡(活重出栏),2022,6,1.2903,2.3769
鸡蛋(出场),2022,6,1.6808,1.9015
生猪(活重出场),2022,7,2.5322,4.6039
肉鸡(活重出栏),2022,7,1.2932,2.3900
鸡蛋(出场),2022,7,1.6858,1.9093
生猪(活重出场),2022,8,2.5515,4.6237
肉鸡(活重出栏),2022,8,1.2960,2.4030
鸡蛋(出场),2022,8,1.6909,1.9170
生猪(活重出场),2022,9,2.5707,4.6433
肉鸡(活重出栏),2022,9,1.2988,2.4159
鸡蛋(出场),2022,9,1.6958,1.9246
生猪(活重出场),2022,10,2.5897,4.6629
肉鸡(活重出栏),2022,10,1.3016,2.4287
鸡蛋(出场),2022,10,1.7008,1.9322
生猪(活重出场),2022,11,2.6087,4.6823
肉鸡(活重出栏),2022,11,1.3043,2.4415
鸡蛋(出场),2022,11,1.7057,1.9398
生猪(活重出场),2022,12,2.6275,4.7016
肉鸡(活重出栏),2022,12,1.3071,2.4542
鸡蛋(出场),2022,12,1.7106,1.9473
生猪(活重出场),2023,1,2.4837,4.5752
肉鸡(活重出栏),2023,1,1.1111,2.2876
鸡蛋(出场),2023,1,1.6340,1.8301
生猪(活重出场),2023,2,2.4813,4.5979
肉鸡(活重出栏),2023,2,1.1332,2.2989
鸡蛋(出场),2023,2,1.6412,1.8365
生猪(活重出场),2023,3,2.4789,4.6204
肉鸡(活重出栏),2023,3,1.1551,2.3102
鸡蛋(出场),2023,3,1.6483,1.8430
生猪(活重出场),2023,4,2.4766,4.6427
肉鸡(活重出栏),2023,4,1.1769,2.3214
鸡蛋(出场),2023,4,1.6554,1.8493
生猪(活重出场),2023,5,2.4742,4.6649
肉鸡(活重出栏),2023,5,1.1985,2.3325
鸡蛋(出场),2023,5,1.6624,1.8557
生猪(活重出场),2023,6,2.4719,4.6870
肉鸡(活重出栏),2023,6,1.2199,2.3435
鸡蛋(出场),2023,6,1.6693,1.8620
生猪(活重出场),2023,7,2.4696,4.7089
肉鸡(活重出栏),2023,7,1.2412,2.3544
鸡蛋(出场),2023,7,1.6763,1.8682
生猪(活重出场),2023,8,2.4673,4.7306
肉鸡(活重出栏),2023,8,1.2624,2.3653
鸡蛋(出场),2023,8,1.6831,1.8744
生猪(活重出场),2023,9,2.4651,4.7522
肉鸡(活重出栏),2023,9,1.2834,2.3761
鸡蛋(出场),2023,9,1.6900,1.8806
生猪(活重出场),2023,10,2.4628,4.7737
肉鸡(活重出栏),2023,10,1.3042,2.3868
鸡蛋(出场),2023,10,1.6967,1.8867
生猪(活重出场),2023,11,2.4606,4.7950
肉鸡(活重出栏),2023,11,1.3249,2.3975
鸡蛋(出场),2023,11,1.7035,1.8927
生猪(活重出场),2023,12,2.4583,4.8161
肉鸡(活重出栏),2023,12,1.3455,2.4080
鸡蛋(出场),2023,12,1.7102,1.8988
生猪(活重出场),2024,1,2.4684,4.8101
肉鸡(活重出栏),2024,1,1.1709,2.3101
鸡蛋(出场),2024,1,1.5696,1.8038
生猪(活重出场),2024,2,2.4803,4.8343
肉鸡(活重出栏),2024,2,1.1770,2.3225
鸡蛋(出场),2024,2,1.5715,1.8113
生猪(活重出场),2024,3,2.4921,4.8584
肉鸡(活重出栏),2024,3,1.1831,2.3348
鸡蛋(出场),2024,3,1.5733,1.8188
生猪(活重出场),2024,4,2.5039,4.8823
肉鸡(活重出栏),2024,4,1.1892,2.3470
鸡蛋(出场),2024,4,1.5751,1.8262
生猪(活重出场),2024,5,2.5156,4.9061
肉鸡(活重出栏),2024,5,1.1952,2.3592
鸡蛋(出场),2024,5,1.5770,1.8335
生猪(活重出场),2024,6,4.3682,4.9298
肉鸡(活重出栏),2024,6,1.2012,2.3713
鸡蛋(出场),2024,6,1.5788,1.8409
生猪(活重出场),2024,7,3.6403,4.9533
肉鸡(活重出栏),2024,7,1.2072,2.3833
鸡蛋(出场),2024,7,1.5806,1.8482
生猪(活重出场),2024,8,3.4130,4.9767
肉鸡(活重出栏),2024,8,1.2132,2.3953
鸡蛋(出场),2024,8,1.5824,1.8554
生猪(活重出场),2024,9,3.1869,5.0000
肉鸡(活重出栏),2024,9,1.2191,2.4072
鸡蛋(出场),2024,9,1.5842,1.8626
生猪(活重出场),2024,10,2.9620,5.0231
肉鸡(活重出栏),2024,10,1.2249,2.4190
鸡蛋(出场),2024,10,1.5859,1.8698
生猪(活重出场),2024,11,2.7385,5.0462
肉鸡(活重出栏),2024,11,1.2308,2.4308
鸡蛋(出场),2024,11,1.5877,1.8769
生猪(活重出场),2024,12,2.5161,5.0690
肉鸡(活重出栏),2024,12,1.2366,2.4425
鸡蛋(出场),2024,12,1.5894,1.8840
生猪(活重出场),2025,1,2.4691,4.9383
肉鸡(活重出栏),2025,1,1.2037,2.3457
鸡蛋(出场),2025,1,1.5278,1.7901
生猪(活重出场),2025,2,2.4800,4.9600
肉鸡(活重出栏),2025,2,1.2015,2.3660
鸡蛋(出场),2025,2,1.5250,1.7991
生猪(活重出场),2025,3,2.4908,4.9815
肉鸡(活重出栏),2025,3,1.1993,2.3862
鸡蛋(出场),2025,3,1.5221,1.8081
生猪(活重出场),2025,4,2.5015,5.0031
肉鸡(活重出栏),2025,4,1.1971,2.4064
鸡蛋(出场),2025,4,1.4426,1.8171
生猪(活重出场),2025,5,2.5123,5.0245
