item,country,year_month,price_cny,price_usd,source
pig,PH,2021-01,,4.532,user_historical_ph
pig,PH,2021-02,,4.514,user_historical_ph
pig,PH,2021-03,,4.496,user_historical_ph
pig,PH,2021-04,,4.478,user_historical_ph
pig,PH,2021-05,,4.460,user_historical_ph
pig,PH,2021-06,,4.442,user_historical_ph
pig,PH,2021-07,,4.424,user_historical_ph
pig,PH,2021-08,,4.406,user_historical_ph
pig,PH,2021-09,,4.388,user_historical_ph
pig,PH,2021-10,,4.370,user_historical_ph
pig,PH,2021-11,,4.352,user_historical_ph
pig,PH,2021-12,,4.334,user_historical_ph
pig,PH,2022-01,,3.946,user_historical_ph
pig,PH,2022-02,,3.936,user_historical_ph
pig,PH,2022-03,,3.927,user_historical_ph
pig,PH,2022-04,,3.918,user_historical_ph
pig,PH,2022-05,,3.909,user_historical_ph
pig,PH,2022-06,,3.900,user_historical_ph
pig,PH,2022-07,,3.891,user_historical_ph
pig,PH,2022-08,,3.882,user_historical_ph
pig,PH,2022-09,,3.873,user_historical_ph
pig,PH,2022-10,,3.864,user_historical_ph
pig,PH,2022-11,,3.855,user_historical_ph
pig,PH,2022-12,,3.846,user_historical_ph
pig,PH,2023-01,,3.298,user_historical_ph
pig,PH,2023-02,,3.292,user_historical_ph
pig,PH,2023-03,,3.287,user_historical_ph
pig,PH,2023-04,,3.281,user_historical_ph
pig,PH,2023-05,,3.276,user_historical_ph
pig,PH,2023-06,,3.271,user_historical_ph
pig,PH,2023-07,,3.265,user_historical_ph
pig,PH,2023-08,,3.260,user_historical_ph
pig,PH,2023-09,,3.255,user_historical_ph
pig,PH,2023-10,,3.249,user_historical_ph
pig,PH,2023-11,,3.244,user_historical_ph
pig,PH,2023-12,,3.238,user_historical_ph
pig,PH,2024-01,,3.080,user_historical_ph
pig,PH,2024-02,,3.078,user_historical_ph
pig,PH,2024-03,,3.078,user_historical_ph
pig,PH,2024-04,,3.076,user_historical_ph
pig,PH,2024-05,,3.076,user_historical_ph
pig,PH,2024-06,,3.076,user_historical_ph
pig,PH,2024-07,,3.074,user_historical_ph
pig,PH,2024-08,,3.074,user_historical_ph
pig,PH,2024-09,,3.073,user_historical_ph
pig,PH,2024-10,,3.073,user_historical_ph
pig,PH,2024-11,,3.071,user_historical_ph
pig,PH,2024-12,,3.069,user_historical_ph
pig,PH,2025-01,,2.991,user_historical_ph
pig,PH,2025-02,,2.993,user_historical_ph
pig,PH,2025-03,,2.993,user_historical_ph
pig,PH,2025-04,,2.995,user_historical_ph
pig,PH,2025-05,,2.995,user_historical_ph
pig,PH,2025-06,,2.995,user_historical_ph
pig,PH,2025-07,,2.997,user_historical_ph
pig,PH,2025-08,,2.997,user_historical_ph
pig,PH,2025-09,,2.998,user_historical_ph
pig,PH,2025-10,,2.998,user_historical_ph
pig,PH,2025-11,,3.000,user_historical_ph
pig,PH,2025-12,,3.002,user_historical_ph
pig,PH,2026-01,,2.971,user_historical_ph
pig,PH,2026-02,,2.972,user_historical_ph
pig,PH,2026-03,,2.974,user_historical_ph
pig,PH,2026-04,,2.974,user_historical_ph
pig,PH,2026-05,,2.976,user_historical_ph
pig,PH,2026-06,,2.978,user_historical_ph
pig,PH,2026-07,,2.979,user_historical_ph
pig,PH,2026-08,,2.981,user_historical_ph
chicken,PH,2021-01,,2.600,user_historical_ph
chicken,PH,2021-02,,2.595,user_historical_ph
chicken,PH,2021-03,,2.590,user_historical_ph
chicken,PH,2021-04,,2.585,user_historical_ph
chicken,PH,2021-05,,2.580,user_historical_ph
chicken,PH,2021-06,,2.575,user_historical_ph
chicken,PH,2021-07,,2.570,user_historical_ph
chicken,PH,2021-08,,2.565,user_historical_ph
chicken,PH,2021-09,,2.560,user_historical_ph
chicken,PH,2021-10,,2.555,user_historical_ph
chicken,PH,2021-11,,2.550,user_historical_ph
chicken,PH,2021-12,,2.545,user_historical_ph
chicken,PH,2022-01,,2.291,user_historical_ph
chicken,PH,2022-02,,2.287,user_historical_ph
chicken,PH,2022-03,,2.284,user_historical_ph
chicken,PH,2022-04,,2.280,user_historical_ph
chicken,PH,2022-05,,2.276,user_historical_ph
chicken,PH,2022-06,,2.273,user_historical_ph
chicken,PH,2022-07,,2.269,user_historical_ph
chicken,PH,2022-08,,2.266,user_historical_ph
chicken,PH,2022-09,,2.262,user_historical_ph
chicken,PH,2022-10,,2.258,user_historical_ph
chicken,PH,2022-11,,2.255,user_historical_ph
chicken,PH,2022-12,,2.251,user_historical_ph
chicken,PH,2023-01,,2.151,user_historical_ph
chicken,PH,2023-02,,2.149,user_historical_ph
chicken,PH,2023-03,,2.147,user_historical_ph
chicken,PH,2023-04,,2.145,user_historical_ph
chicken,PH,2023-05,,2.143,user_historical_ph
chicken,PH,2023-06,,2.142,user_historical_ph
chicken,PH,2023-07,,2.140,user_historical_ph
chicken,PH,2023-08,,2.138,user_historical_ph
chicken,PH,2023-09,,2.136,user_historical_ph
chicken,PH,2023-10,,2.134,user_historical_ph
chicken,PH,2023-11,,2.133,user_historical_ph
chicken,PH,2023-12,,2.131,user_historical_ph
chicken,PH,2024-01,,2.080,user_historical_ph
chicken,PH,2024-02,,2.079,user_historical_ph
chicken,PH,2024-03,,2.078,user_historical_ph
chicken,PH,2024-04,,2.078,user_historical_ph
chicken,PH,2024-05,,2.077,user_historical_ph
chicken,PH,2024-06,,2.076,user_historical_ph
chicken,PH,2024-07,,2.075,user_historical_ph
chicken,PH,2024-08,,2.075,user_historical_ph
chicken,PH,2024-09,,2.074,user_historical_ph
chicken,PH,2024-10,,2.073,user_historical_ph
chicken,PH,2024-11,,2.073,user_historical_ph
chicken,PH,2024-12,,2.072,user_historical_ph
chicken,PH,2025-01,,2.026,user_historical_ph
chicken,PH,2025-02,,2.026,user_historical_ph
chicken,PH,2025-03,,2.027,user_historical_ph
chicken,PH,2025-04,,2.027,user_historical_ph
chicken,PH,2025-05,,2.028,user_historical_ph
chicken,PH,2025-06,,2.028,user_historical_ph
chicken,PH,2025-07,,2.028,user_historical_ph
chicken,PH,2025-08,,2.029,user_historical_ph
chicken,PH,2025-09,,2.029,user_historical_ph
chicken,PH,2025-10,,2.029,user_historical_ph
chicken,PH,2025-11,,2.030,user_historical_ph
chicken,PH,2025-12,,2.030,user_historical_ph
chicken,PH,2026-01,,2.007,user_historical_ph
chicken,PH,2026-02,,2.007,user_historical_ph
chicken,PH,2026-03,,2.007,user_historical_ph
chicken,PH,2026-04,,2.007,user_historical_ph
chicken,PH,2026-05,,2.007,user_historical_ph
chicken,PH,2026-06,,2.007,user_historical_ph
chicken,PH,2026-07,,2.008,user_historical_ph
chicken,PH,2026-08,,2.008,user_historical_ph
egg,PH,2021-01,,1.862,user_historical_ph
egg,PH,2021-02,,1.866,user_historical_ph
egg,PH,2021-03,,1.869,user_historical_ph
egg,PH,2021-04,,1.876,user_historical_ph
egg,PH,2021-05,,1.879,user_historical_ph
egg,PH,2021-06,,1.883,user_historical_ph
egg,PH,2021-07,,1.886,user_historical_ph
egg,PH,2021-08,,1.890,user_historical_ph
egg,PH,2021-09,,1.897,user_historical_ph
egg,PH,2021-10,,1.900,user_historical_ph
egg,PH,2021-11,,1.903,user_historical_ph
egg,PH,2021-12,,1.907,user_historical_ph
egg,PH,2022-01,,1.749,user_historical_ph
egg,PH,2022-02,,1.752,user_historical_ph
egg,PH,2022-03,,1.756,user_historical_ph
egg,PH,2022-04,,1.762,user_historical_ph
egg,PH,2022-05,,1.765,user_historical_ph
egg,PH,2022-06,,1.768,user_historical_ph
egg,PH,2022-07,,1.771,user_historical_ph
egg,PH,2022-08,,1.774,user_historical_ph
egg,PH,2022-09,,1.781,user_historical_ph
egg,PH,2022-10,,1.784,user_historical_ph
egg,PH,2022-11,,1.787,user_historical_ph
egg,PH,2022-12,,1.790,user_historical_ph
egg,PH,2023-01,,1.780,user_historical_ph
egg,PH,2023-02,,1.783,user_historical_ph
egg,PH,2023-03,,1.786,user_historical_ph
egg,PH,2023-04,,1.792,user_historical_ph
egg,PH,2023-05,,1.795,user_historical_ph
egg,PH,2023-06,,1.798,user_historical_ph
egg,PH,2023-07,,1.801,user_historical_ph
egg,PH,2023-08,,1.805,user_historical_ph
egg,PH,2023-09,,1.811,user_historical_ph
egg,PH,2023-10,,1.814,user_historical_ph
egg,PH,2023-11,,1.817,user_historical_ph
egg,PH,2023-12,,1.820,user_historical_ph
egg,PH,2024-01,,1.813,user_historical_ph
egg,PH,2024-02,,1.816,user_historical_ph
egg,PH,2024-03,,1.816,user_historical_ph
egg,PH,2024-04,,1.819,user_historical_ph
egg,PH,2024-05,,1.819,user_historical_ph
egg,PH,2024-06,,1.822,user_historical_ph
egg,PH,2024-07,,1.825,user_historical_ph
egg,PH,2024-08,,1.825,user_historical_ph
egg,PH,2024-09,,1.828,user_historical_ph
egg,PH,2024-10,,1.828,user_historical_ph
egg,PH,2024-11,,1.831,user_historical_ph
egg,PH,2024-12,,1.834,user_historical_ph
egg,PH,2025-01,,1.817,user_historical_ph
egg,PH,2025-02,,1.817,user_historical_ph
egg,PH,2025-03,,1.820,user_historical_ph
egg,PH,2025-04,,1.820,user_historical_ph
egg,PH,2025-05,,1.823,user_historical_ph
egg,PH,2025-06,,1.823,user_historical_ph
egg,PH,2025-07,,1.823,user_historical_ph
egg,PH,2025-08,,1.826,user_historical_ph
egg,PH,2025-09,,1.826,user_historical_ph
egg,PH,2025-10,,1.829,user_historical_ph
egg,PH,2025-11,,1.829,user_historical_ph
egg,PH,2025-12,,1.829,user_historical_ph
egg,PH,2026-01,,1.843,user_historical_ph
egg,PH,2026-02,,1.849,user_historical_ph
egg,PH,2026-03,,1.852,user_historical_ph
egg,PH,2026-04,,1.858,user_historical_ph
egg,PH,2026-05,,1.861,user_historical_ph
egg,PH,2026-06,,1.867,user_historical_ph
egg,PH,2026-07,,1.873,user_historical_ph
egg,PH,2026-08,,1.876,user_historical_ph
pig,VN,2021-01,,3.67,user_corrected_vn_pig
pig,VN,2021-02,,3.32,user_corrected_vn_pig
pig,VN,2021-03,,3.27,user_corrected_vn_pig
pig,VN,2021-04,,3.14,user_corrected_vn_pig
pig,VN,2021-05,,2.96,user_corrected_vn_pig
pig,VN,2021-06,,2.91,user_corrected_vn_pig
pig,VN,2021-07,,2.30,user_corrected_vn_pig
pig,VN,2021-08,,2.26,user_corrected_vn_pig
pig,VN,2021-09,,2.09,user_corrected_vn_pig
pig,VN,2021-10,,1.75,user_corrected_vn_pig
pig,VN,2021-11,,2.10,user_corrected_vn_pig
pig,VN,2021-12,,2.17,user_corrected_vn_pig
pig,VN,2022-01,,2.41,user_corrected_vn_pig
pig,VN,2022-02,,2.38,user_corrected_vn_pig
pig,VN,2022-03,,2.33,user_corrected_vn_pig
pig,VN,2022-04,,2.40,user_corrected_vn_pig
pig,VN,2022-05,,2.42,user_corrected_vn_pig
pig,VN,2022-06,,2.46,user_corrected_vn_pig
pig,VN,2022-07,,2.79,user_corrected_vn_pig
pig,VN,2022-08,,2.74,user_corrected_vn_pig
pig,VN,2022-09,,2.64,user_corrected_vn_pig
pig,VN,2022-10,,2.46,user_corrected_vn_pig
pig,VN,2022-11,,2.32,user_corrected_vn_pig
pig,VN,2022-12,,2.19,user_corrected_vn_pig
pig,VN,2023-01,,2.10,user_corrected_vn_pig
pig,VN,2023-02,,2.07,user_corrected_vn_pig
pig,VN,2023-03,,2.03,user_corrected_vn_pig
pig,VN,2023-04,,2.11,user_corrected_vn_pig
pig,VN,2023-05,,2.32,user_corrected_vn_pig
pig,VN,2023-06,,2.53,user_corrected_vn_pig
pig,VN,2023-07,,2.57,user_corrected_vn_pig
pig,VN,2023-08,,2.44,user_corrected_vn_pig
pig,VN,2023-09,,2.33,user_corrected_vn_pig
pig,VN,2023-10,,2.23,user_corrected_vn_pig
pig,VN,2023-11,,2.17,user_corrected_vn_pig
pig,VN,2023-12,,2.00,user_corrected_vn_pig
pig,VN,2024-01,,2.11,user_corrected_vn_pig
pig,VN,2024-02,,2.23,user_corrected_vn_pig
pig,VN,2024-03,,2.33,user_corrected_vn_pig
pig,VN,2024-04,,2.39,user_corrected_vn_pig
pig,VN,2024-05,,2.52,user_corrected_vn_pig
pig,VN,2024-06,,2.79,user_corrected_vn_pig
pig,VN,2024-07,,2.73,user_corrected_vn_pig
pig,VN,2024-08,,2.67,user_corrected_vn_pig
pig,VN,2024-09,,2.72,user_corrected_vn_pig
pig,VN,2024-10,,2.59,user_corrected_vn_pig
pig,VN,2024-11,,2.49,user_corrected_vn_pig
pig,VN,2024-12,,2.60,user_corrected_vn_pig
pig,VN,2025-01,,2.63,user_corrected_vn_pig
pig,VN,2025-02,,2.69,user_corrected_vn_pig
pig,VN,2025-03,,2.91,user_corrected_vn_pig
pig,VN,2025-04,,2.75,user_corrected_vn_pig
pig,VN,2025-05,,2.58,user_corrected_vn_pig
pig,VN,2025-06,,2.50,user_corrected_vn_pig
pig,VN,2025-07,,2.45,user_corrected_vn_pig
