item,year,month,farmgate_usd,retail_usd
pig,2021,1,3.3900,6.7590
pig,2021,2,3.3950,6.7590
pig,2021,3,3.4000,6.7590
pig,2021,4,3.4050,6.7590
pig,2021,5,3.4100,6.7590
pig,2021,6,3.4150,6.7590
pig,2021,7,3.4190,6.7590
pig,2021,8,3.4290,6.7590
pig,2021,9,3.4390,6.7590
pig,2021,10,3.4490,6.7590
pig,2021,11,3.4590,6.7590
pig,2021,12,3.4690,6.7590
pig,2022,1,3.3780,6.6600
pig,2022,2,3.3880,6.6600
pig,2022,3,3.3980,6.6600
pig,2022,4,3.4070,6.6600
pig,2022,5,3.4170,6.6600
pig,2022,6,3.4270,6.6600
pig,2022,7,3.4360,6.6600
pig,2022,8,3.4270,6.6600
pig,2022,9,3.4170,6.6600
pig,2022,10,3.4070,6.6600
pig,2022,11,3.3980,6.6600
pig,2022,12,3.3880,6.6600
pig,2023,1,3.2710,6.3550
pig,2023,2,3.2710,6.3550
pig,2023,3,3.2710,6.3550
pig,2023,4,3.2710,6.3550
pig,2023,5,3.2710,6.3550
pig,2023,6,3.2710,6.3550
pig,2023,7,3.2710,6.3550
pig,2023,8,3.3550,6.3550
pig,2023,9,3.4390,6.3550
pig,2023,10,3.5230,6.3550
pig,2023,11,3.6070,6.3550
pig,2023,12,3.6920,6.3550
pig,2024,1,3.6590,6.3410
pig,2024,2,3.7200,6.3410
pig,2024,3,3.7800,6.3410
pig,2024,4,3.8410,6.3410
pig,2024,5,3.5750,6.3410
pig,2024,6,3.3090,6.3410
pig,2024,7,3.0430,6.3410
pig,2024,8,3.1160,6.3410
pig,2024,9,3.1880,6.3410
pig,2024,10,3.2610,6.3410
pig,2024,11,3.5510,6.3410
pig,2024,12,3.8410,6.3410
pig,2025,1,4.0350,6.3220
pig,2025,2,4.0880,6.3220
pig,2025,3,4.1420,6.3220
pig,2025,4,4.1950,6.3220
pig,2025,5,3.9590,6.3220
pig,2025,6,3.7230,6.3220
pig,2025,7,3.4870,6.3220
pig,2025,8,3.4040,6.3220
pig,2025,9,3.3220,6.3220
pig,2025,10,3.2390,6.3220
pig,2025,11,3.1980,6.3220
pig,2025,12,3.1570,6.3220
pig,2026,1,3.0140,6.0790
pig,2026,2,3.0190,6.0790
pig,2026,3,3.0690,6.0790
pig,2026,4,2.9790,6.0790
pig,2026,5,2.9380,6.0790
pig,2026,6,2.9410,6.0790
pig,2026,7,2.9540,6.0790
pig,2026,8,2.9620,6.0790
chicken,2021,1,2.3860,3.9760
chicken,2021,2,2.3920,3.9760
chicken,2021,3,2.3990,3.9760
chicken,2021,4,2.4060,3.9760
chicken,2021,5,2.4120,3.9760
chicken,2021,6,2.4190,3.9760
chicken,2021,7,2.4250,3.9760
chicken,2021,8,2.5180,3.9760
chicken,2021,9,2.6110,3.9760
chicken,2021,10,2.7040,3.9760
chicken,2021,11,2.7970,3.9760
chicken,2021,12,2.8890,3.9760
chicken,2022,1,2.8960,3.9580
chicken,2022,2,2.8890,3.9580
chicken,2022,3,2.8830,3.9580
chicken,2022,4,2.8760,3.9580
chicken,2022,5,2.8700,3.9580
chicken,2022,6,2.8640,3.9580
chicken,2022,7,2.8570,3.9580
chicken,2022,8,2.8470,3.9580
chicken,2022,9,2.8380,3.9580
chicken,2022,10,2.8280,3.9580
chicken,2022,11,2.8190,3.9580
chicken,2022,12,2.8090,3.9580
chicken,2023,1,2.7100,3.9250
chicken,2023,2,2.7100,3.9250
chicken,2023,3,2.7100,3.9250
chicken,2023,4,2.7100,3.9250
chicken,2023,5,2.7100,3.9250
chicken,2023,6,2.7100,3.9250
chicken,2023,7,2.7100,3.9250
chicken,2023,8,2.6150,3.9250
chicken,2023,9,2.5190,3.9250
chicken,2023,10,2.4240,3.9250
chicken,2023,11,2.3280,3.9250
chicken,2023,12,2.2320,3.9250
chicken,2024,1,2.0710,3.8950
chicken,2024,2,2.1710,3.8950
chicken,2024,3,2.2710,3.8950
chicken,2024,4,2.3710,3.8950
chicken,2024,5,2.6250,3.8950
chicken,2024,6,2.8790,3.8950
chicken,2024,7,2.7620,3.8950
chicken,2024,8,2.6450,3.8950
chicken,2024,9,2.5280,3.8950
chicken,2024,10,1.9890,3.8950
chicken,2024,11,1.4490,3.8950
chicken,2024,12,1.9930,3.8950
chicken,2025,1,2.2390,3.8940
chicken,2025,2,2.2540,3.8940
chicken,2025,3,2.2680,3.8940
chicken,2025,4,2.2830,3.8940
chicken,2025,5,2.2180,3.8940
chicken,2025,6,2.1530,3.8940
chicken,2025,7,2.0880,3.8940
chicken,2025,8,2.1640,3.8940
chicken,2025,9,2.2390,3.8940
chicken,2025,10,2.3150,3.8940
chicken,2025,11,2.2810,3.8940
chicken,2025,12,2.2470,3.8940
chicken,2026,1,2.1400,3.8010
chicken,2026,2,2.1580,3.8010
chicken,2026,3,2.1920,3.8010
chicken,2026,4,2.2260,3.8010
chicken,2026,5,2.2600,3.8010
chicken,2026,6,2.2950,3.8010
chicken,2026,7,2.3120,3.8010
chicken,2026,8,2.3290,3.8010
egg,2021,1,1.9880,2.8160
egg,2021,2,1.9950,2.8160
egg,2021,3,2.0010,2.8160
egg,2021,4,2.0050,2.8160
egg,2021,5,2.0110,2.8160
egg,2021,6,2.0150,2.8160
egg,2021,7,2.0210,2.8160
egg,2021,8,2.0280,2.8160
egg,2021,9,2.0350,2.8160
egg,2021,10,2.0380,2.8160
egg,2021,11,2.0440,2.8160
egg,2021,12,2.0510,2.8160
egg,2022,1,1.9950,2.7990
egg,2022,2,2.0010,2.7990
egg,2022,3,2.0080,2.7990
egg,2022,4,2.0110,2.7990
egg,2022,5,2.0170,2.7990
egg,2022,6,2.0240,2.7990
egg,2022,7,2.0270,2.7990
egg,2022,8,2.0370,2.7990
egg,2022,9,2.0460,2.7990
egg,2022,10,2.0590,2.7990
egg,2022,11,2.0690,2.7990
egg,2022,12,2.0790,2.7990
egg,2023,1,2.0250,2.7410
egg,2023,2,2.0310,2.7410
